Position	Time	Type
185709	334080	1	0.800
185871	334371	1	0.810
186035	334666	1	0.820
186202	334967	1	0.835
186371	335271	1	0.845
186535	335566	1	0.820
186691	335847	1	0.780
186844	336123	1	0.765
187003	336409	1	0.795
187166	336702	1	0.815
187333	337003	1	0.835
187501	337305	1	0.840
187662	337595	1	0.805
187824	337887	1	0.810
187981	338178	1	0.785
188140	338464	1	0.795
188301	338745	1	0.805
188469	339048	1	0.840
188637	339350	1	0.840
188808	339658	1	0.855
188970	339955	1	0.810
189125	340234	1	0.775
189285	340525	1	0.800
189444	340812	1	0.795
189608	341098	1	0.820
189777	341402	1	0.845
189947	341708	1	0.850
190108	341998	1	0.805
190270	342289	1	0.810
190426	342579	1	0.780
190579	342855	1	0.765
190742	343139	1	0.815
190906	343434	1	0.820
191070	343729	1	0.820
191231	344019	1	0.805
191389	344305	1	0.790
191542	344588	1	0.765
191702	344869	1	0.800
191861	345162	1	0.795
192020	345439	1	0.795
192191	345747	1	0.855
192354	346041	1	0.815
192516	346332	1	0.810
192676	346620	1	0.800
192791	346827	1	0.575
192982	347171	1	0.955
193152	347477	1	0.850
193322	347783	1	0.850
193490	348085	1	0.840
193660	348391	1	0.850
193821	348681	1	0.805
193975	348958	1	0.770
194133	349243	1	0.790
194291	349527	1	0.790
194458	349828	1	0.835
194629	350136	1	0.855
194794	350433	1	0.825
194951	350715	1	0.785
195111	351005	1	0.800
195270	351298	1	0.795
195389	351513	1	0.595
195578	351853	1	0.945
195742	352141	1	0.820
195909	352441	1	0.835
196072	352735	1	0.815
196226	353012	1	0.770
196376	353286	1	0.750
196538	353577	1	0.810
196696	353865	1	0.790
196860	354160	1	0.820
197026	354459	1	0.830
197187	354749	1	0.805
197353	355048	1	0.830
197512	355334	1	0.795
197666	355608	1	0.770
197821	355887	1	0.775
197992	356194	1	0.855
198157	356491	1	0.825
198321	356787	1	0.820
198481	357078	1	0.800
198638	357361	1	0.785
198795	357643	1	0.785
198956	357930	1	0.805
199114	358214	1	0.790
199279	358511	1	0.825
199449	358817	1	0.850
199615	359119	1	0.830
199769	359389	1	0.770
199919	359667	1	0.750
200068	359935	1	0.745
200223	360207	1	0.775
200384	360496	1	0.805
200546	360788	1	0.810
200706	361076	1	0.800
200869	361369	1	0.815
201026	361652	1	0.785
201175	361927	1	0.745
201324	362196	1	0.745
201484	362484	1	0.800
201640	362764	1	0.780
201804	363060	1	0.820
201966	363351	1	0.810
202126	363639	1	0.800
202277	363911	1	0.755
202432	364190	1	0.775
202592	364478	1	0.800
202750	364762	1	0.790
202912	365054	1	0.810
203084	365355	1	0.860
203256	365673	1	0.860
203408	365947	1	0.760
203562	366224	1	0.770
203724	366514	1	0.810
203888	366809	1	0.820
204046	367095	1	0.790
204213	367396	1	0.835
204386	367707	1	0.865
204544	367992	1	0.790
204704	368280	1	0.800
204862	368564	1	0.790
205025	368857	1	0.815
205183	369142	1	0.790
205350	369433	1	0.835
205519	369738	1	0.845
205684	370044	1	0.825
205833	370312	1	0.745
205987	370589	1	0.770
206146	370875	1	0.795
206306	371163	1	0.800
206459	371439	1	0.765
206624	371736	1	0.825
206793	372040	1	0.845
206956	372333	1	0.815
207098	372589	1	0.710
207252	372866	1	0.770
207413	373156	1	0.805
207582	373460	1	0.845
207740	373744	1	0.790
207900	374023	1	0.800
208069	374328	1	0.845
208230	374626	1	0.805
208375	374887	1	0.725
208525	375157	1	0.750
208685	375445	1	0.800
208853	375748	1	0.840
209010	376030	1	0.785
209171	376320	1	0.805
209331	376608	1	0.800
209490	376894	1	0.795
209611	377112	1	0.605
209791	377431	1	0.900
209956	377728	1	0.825
210125	378032	1	0.845
210294	378336	1	0.845
210460	378637	1	0.830
210615	378916	1	0.775
210766	379191	1	0.755
210922	379472	1	0.780
211084	379756	1	0.810
211246	380055	1	0.810
211407	380345	1	0.805
211572	380635	1	0.825
211732	380923	1	0.800
211885	381200	1	0.765
212040	381484	1	0.775
212192	381758	1	0.760
212353	382048	1	0.805
212516	382341	1	0.815
212682	382640	1	0.830
212842	382928	1	0.800
213002	383216	1	0.800
213154	383490	1	0.760
213313	383776	1	0.795
213471	384060	1	0.790
213632	384350	1	0.805
213797	384647	1	0.825
213964	384948	1	0.835
214125	385230	1	0.805
214282	385520	1	0.785
214438	385801	1	0.780
214595	386083	1	0.785
214761	386382	1	0.830
214927	386681	1	0.830
215090	386967	1	0.815
215256	387264	1	0.830
215418	387565	1	0.810
215573	387842	1	0.775
215725	388116	1	0.760
215885	388404	1	0.800
216051	388704	1	0.830
216222	389003	1	0.855
216387	389309	1	0.825
216546	389595	1	0.795
216711	389883	1	0.825
216872	390173	1	0.805
217030	390457	1	0.790
217195	390754	1	0.825
217366	391062	1	0.855
217536	391368	1	0.850
217701	391665	1	0.825
217858	391948	1	0.785
218013	392227	1	0.775
218174	392517	1	0.805
218334	392805	1	0.800
218498	393100	1	0.820
218665	393400	1	0.835
218830	393697	1	0.825
218987	393980	1	0.785
219146	394266	1	0.795
219300	394552	1	0.770
219456	394833	1	0.780
219620	395128	1	0.820
219790	395434	1	0.850
219954	395721	1	0.820
220116	396012	1	0.810
220271	396300	1	0.775
220429	396576	1	0.790
220592	396869	1	0.815
220752	397157	1	0.800
220864	397359	1	0.560
221069	397728	1	1.025
221237	398030	1	0.840
221397	398318	1	0.800
221549	398592	1	0.760
221707	398876	1	0.790
221866	399162	1	0.795
222031	399459	1	0.825
222195	399754	1	0.820
222357	400046	1	0.810
222524	400347	1	0.835
222677	400622	1	0.765
222832	400910	1	0.775
222991	401196	1	0.795
223152	401477	1	0.805
223321	401781	1	0.845
223489	402084	1	0.840
223656	402384	1	0.835
223815	402670	1	0.795
223974	402957	1	0.795
224131	403243	1	0.785
224294	403536	1	0.815
224458	403828	1	0.820
224623	404125	1	0.825
224791	404427	1	0.840
224954	404721	1	0.815
225111	405012	1	0.785
225264	405288	1	0.765
225424	405576	1	0.800
225587	405862	1	0.815
225750	406153	1	0.815
225914	406449	1	0.820
226076	406740	1	0.810
226236	407028	1	0.800
226393	407311	1	0.785
226544	407584	1	0.755
226705	407881	1	0.805
226873	408175	1	0.840
227040	408475	1	0.835
227203	408769	1	0.815
227361	409062	1	0.790
227519	409341	1	0.790
227676	409624	1	0.785
227834	409905	1	0.790
227998	410200	1	0.820
228165	410500	1	0.835
228334	410805	1	0.845
228495	411094	1	0.805
228652	411386	1	0.785
228807	411660	1	0.775
228964	411939	1	0.785
229126	412230	1	0.810
229296	412536	1	0.850
229465	412840	1	0.845
229627	413132	1	0.810
229790	413425	1	0.815
229951	413724	1	0.805
230105	414001	1	0.770
230261	414282	1	0.780
230423	414574	1	0.810
230593	414880	1	0.850
230757	415166	1	0.820
230917	415463	1	0.800
231068	415735	1	0.755
231230	416026	1	0.810
231387	416309	1	0.785
231542	416588	1	0.775
231706	416883	1	0.820
231873	417184	1	0.835
232036	417468	1	0.815
232194	417762	1	0.790
232348	418039	1	0.770
232502	418316	1	0.770
232665	418609	1	0.815
232826	418899	1	0.805
232987	419189	1	0.805
233152	419479	1	0.825
233313	419769	1	0.805
233467	420046	1	0.770
233623	420327	1	0.780
233780	420609	1	0.785
233941	420906	1	0.805
234107	421203	1	0.830
234274	421497	1	0.835
234437	421790	1	0.815
234563	422017	1	0.630
234745	422344	1	0.910
234902	422629	1	0.785
235021	422843	1	0.595
235213	423194	1	0.960
235379	423493	1	0.830
235548	423792	1	0.845
235713	424089	1	0.825
235866	424371	1	0.765
236020	424645	1	0.770
236174	424926	1	0.770
236338	425215	1	0.820
236507	425520	1	0.845
236671	425815	1	0.820
236832	426105	1	0.805
237000	426407	1	0.840
237156	426688	1	0.780
237310	426965	1	0.770
237469	427249	1	0.795
237635	427548	1	0.830
237804	427852	1	0.845
237971	428155	1	0.835
238129	428437	1	0.790
238288	428722	1	0.795
238451	429021	1	0.815
238609	429305	1	0.790
238766	429588	1	0.785
238937	429890	1	0.855
239103	430189	1	0.830
239272	430493	1	0.845
239430	430777	1	0.790
239586	431067	1	0.780
239742	431339	1	0.780
239908	431638	1	0.830
240072	431933	1	0.820
240238	432232	1	0.830
240405	432532	1	0.835
240566	432822	1	0.805
240723	433105	1	0.785
240880	433396	1	0.785
241038	433672	1	0.790
241145	433864	1	0.535
241351	434235	1	1.030
241518	434536	1	0.835
241684	434835	1	0.830
241842	435119	1	0.790
241995	435394	1	0.765
242155	435682	1	0.800
242317	435974	1	0.810
242428	436174	1	0.555
242629	436536	1	1.005
242800	436843	1	0.855
242966	437142	1	0.830
243122	437423	1	0.780
243279	437706	1	0.785
243437	437990	1	0.790
243604	438291	1	0.835
243773	438595	1	0.845
243936	438888	1	0.815
244099	439182	1	0.815
244263	439477	1	0.820
244422	439763	1	0.795
244579	440046	1	0.785
244741	440337	1	0.810
244912	440645	1	0.855
245085	440956	1	0.865
245250	441253	1	0.825
245410	441541	1	0.800
245575	441838	1	0.825
245738	442132	1	0.815
245903	442434	1	0.825
246024	442652	1	0.605
246229	443021	1	1.025
246402	443332	1	0.865
246570	443635	1	0.840
246727	443917	1	0.785
246886	444204	1	0.795
247052	444502	1	0.830
247181	444729	1	0.645
247378	445084	1	0.985
247546	445386	1	0.840
247710	445681	1	0.820
247871	445971	1	0.805
248026	446259	1	0.775
248182	446540	1	0.780
248344	446826	1	0.810
248514	447129	1	0.850
248679	447426	1	0.825
248842	447719	1	0.815
249000	448012	1	0.790
249157	448295	1	0.785
249316	448581	1	0.795
249475	448867	1	0.795
249643	449170	1	0.840
249812	449474	1	0.845
249982	449771	1	0.850
250143	450061	1	0.805
250303	450358	1	0.800
250459	450639	1	0.780
250620	450928	1	0.805
250785	451216	1	0.825
250956	451524	1	0.855
251126	451830	1	0.850
251289	452124	1	0.815
251450	452413	1	0.805
251610	452710	1	0.800
251766	452991	1	0.780
251928	453274	1	0.810
252092	453569	1	0.820
252262	453875	1	0.850
252430	454177	1	0.840
252591	454467	1	0.805
252706	454674	1	0.575
252898	455020	1	0.960
253063	455317	1	0.825
253226	455610	1	0.815
253393	455911	1	0.835
253561	456213	1	0.840
253726	456510	1	0.825
253884	456795	1	0.790
254037	457070	1	0.765
254196	457356	1	0.795
254364	457659	1	0.840
254532	457961	1	0.840
254660	458191	1	0.640
254857	458546	1	0.985
255020	458839	1	0.815
255179	459126	1	0.795
255334	459405	1	0.775
255491	459687	1	0.785
255659	459990	1	0.840
255831	460299	1	0.860
255996	460596	1	0.825
256154	460881	1	0.790
256316	461172	1	0.810
256474	461466	1	0.790
256634	461754	1	0.800
256797	462047	1	0.815
256964	462339	1	0.835
257134	462645	1	0.850
257299	462942	1	0.825
257454	463222	1	0.775
257612	463514	1	0.790
257769	463797	1	0.785
257927	464081	1	0.790
258101	464385	1	0.870
258270	464689	1	0.845
258433	464983	1	0.815
258598	465280	1	0.825
258755	465571	1	0.785
258911	465852	1	0.780
259069	466128	1	0.790
259236	466428	1	0.835
259404	466731	1	0.840
259572	467033	1	0.840
259737	467330	1	0.825
259894	467613	1	0.785
260055	467902	1	0.805
260214	468189	1	0.795
260377	468482	1	0.815
260546	468786	1	0.845
260714	469089	1	0.840
260879	469386	1	0.825
261045	469684	1	0.830
261201	469965	1	0.780
261361	470253	1	0.800
261528	470554	1	0.835
261698	470860	1	0.850
261866	471162	1	0.840
262036	471468	1	0.850
262193	471751	1	0.785
262355	472042	1	0.810
262513	472327	1	0.790
262672	472613	1	0.795
262837	472910	1	0.825
263012	473225	1	0.875
263177	473522	1	0.825
263340	473815	1	0.815
263496	474096	1	0.780
263657	474386	1	0.805
263818	474676	1	0.805
263980	474967	1	0.810
264143	475261	1	0.815
264316	475572	1	0.865
264484	475875	1	0.840
264642	476159	1	0.790
264798	476440	1	0.780
264959	476730	1	0.805
265122	477023	1	0.815
265293	477331	1	0.855
265458	477628	1	0.825
265621	477921	1	0.815
265786	478218	1	0.825
265945	478504	1	0.795
266098	478789	1	0.765
266256	479073	1	0.790
266417	479354	1	0.805
266585	479656	1	0.840
266751	479955	1	0.830
266910	480243	1	0.795
267063	480519	1	0.765
267222	480812	1	0.795
267376	481089	1	0.770
267534	481374	1	0.790
267701	481667	1	0.835
267867	481964	1	0.830
268033	482263	1	0.830
268192	482551	1	0.795
268345	482826	1	0.765
268495	483096	1	0.750
268650	483375	1	0.775
268808	483660	1	0.790
268973	483957	1	0.825
269134	484246	1	0.805
269293	484540	1	0.795
269447	484817	1	0.770
269607	485105	1	0.800
269763	485379	1	0.780
269922	485672	1	0.795
270089	485965	1	0.835
270263	486279	1	0.870
270431	486581	1	0.840
270591	486869	1	0.800
270749	487153	1	0.790
270913	487449	1	0.820
271077	487742	1	0.820
271244	488043	1	0.835
271411	488343	1	0.835
271586	488658	1	0.875
271751	488955	1	0.825
271908	489238	1	0.785
272065	489520	1	0.785
272227	489812	1	0.810
272395	490114	1	0.840
272563	490417	1	0.840
272731	490719	1	0.840
272897	491018	1	0.830
273059	491310	1	0.810
273217	491594	1	0.790
273372	491873	1	0.775
273536	492168	1	0.820
273702	492467	1	0.830
273872	492773	1	0.850
274037	493070	1	0.825
274200	493363	1	0.815
274357	493646	1	0.785
274519	493938	1	0.810
274677	494222	1	0.790
274840	494515	1	0.815
275006	494820	1	0.830
275170	495115	1	0.820
275328	495399	1	0.790
275483	495678	1	0.775
275636	495954	1	0.765
275790	496234	1	0.770
275955	496524	1	0.825
276074	496738	1	0.595
276275	497107	1	1.005
276442	497408	1	0.835
276602	497696	1	0.800
276758	497977	1	0.780
276917	498263	1	0.795
277076	498549	1	0.795
277240	498844	1	0.820
277408	499147	1	0.840
277576	499449	1	0.840
277734	499734	1	0.790
277893	500020	1	0.795
278049	500301	1	0.780
278205	500581	1	0.780
278371	500875	1	0.830
278536	501177	1	0.825
278704	501471	1	0.840
278870	501769	1	0.830
279033	502072	1	0.815
279187	502349	1	0.770
279345	502633	1	0.790
279505	502921	1	0.800
279673	503224	1	0.840
279842	503528	1	0.845
280007	503825	1	0.825
280167	504113	1	0.800
280330	504406	1	0.815
280486	504687	1	0.780
280642	504968	1	0.780
280804	505260	1	0.810
280971	505560	1	0.835
281139	505863	1	0.840
281303	506158	1	0.820
281454	506430	1	0.755
281611	506712	1	0.785
281772	507002	1	0.805
281931	507288	1	0.795
282096	507576	1	0.825
282264	507879	1	0.840
282433	508183	1	0.845
282597	508478	1	0.820
282758	508768	1	0.805
282911	509043	1	0.765
283077	509342	1	0.830
283247	509648	1	0.850
283413	509947	1	0.830
283578	510244	1	0.825
283744	510543	1	0.830
283902	510827	1	0.790
284063	511117	1	0.805
284217	511403	1	0.770
284377	511682	1	0.800
284551	511995	1	0.870
284721	512301	1	0.850
284882	512591	1	0.805
285039	512874	1	0.785
285197	513158	1	0.790
285358	513448	1	0.805
285522	513743	1	0.820
285686	514038	1	0.820
285855	514342	1	0.845
286027	514652	1	0.860
286188	514942	1	0.805
286342	515228	1	0.770
286498	515509	1	0.780
286656	515793	1	0.790
286825	516088	1	0.845
286995	516394	1	0.850
287160	516691	1	0.825
287328	516994	1	0.840
287492	517289	1	0.820
287652	517577	1	0.800
287807	517865	1	0.775
287971	518151	1	0.820
288137	518450	1	0.830
288308	518758	1	0.855
288472	519053	1	0.820
288626	519334	1	0.770
288786	519618	1	0.800
288946	519915	1	0.800
289094	520173	1	0.740
289268	520486	1	0.870
289438	520795	1	0.850
289556	521013	1	0.590
289757	521375	1	1.005
289915	521659	1	0.790
290074	521942	1	0.795
290238	522234	1	0.820
290406	522543	1	0.840
290576	522849	1	0.850
290742	523148	1	0.830
290909	523449	1	0.835
291071	523740	1	0.810
291233	524032	1	0.810
291389	524311	1	0.780
291554	524602	1	0.825
291728	524916	1	0.870
291899	525223	1	0.855
292062	525524	1	0.815
292222	525805	1	0.800
292380	526089	1	0.790
292542	526379	1	0.810
292703	526669	1	0.805
292867	526964	1	0.820
293036	527268	1	0.845
293205	527572	1	0.845
293366	527862	1	0.805
293521	528141	1	0.775
293679	528426	1	0.790
293838	528712	1	0.795
294006	529014	1	0.840
294174	529317	1	0.840
294344	529623	1	0.850
294509	529920	1	0.825
294672	530213	1	0.815
294829	530496	1	0.785
294991	530787	1	0.810
295154	531081	1	0.815
295321	531381	1	0.835
295493	531691	1	0.860
295660	531991	1	0.835
295821	532281	1	0.805
295980	532567	1	0.795
296138	532861	1	0.790
296301	533154	1	0.815
296464	533448	1	0.815
296633	533745	1	0.845
296797	534042	1	0.820
296960	534340	1	0.815
297118	534625	1	0.790
297274	534906	1	0.780
297434	535185	1	0.800
297600	535483	1	0.830
297771	535791	1	0.855
297937	536090	1	0.830
298102	536387	1	0.825
298258	536677	1	0.780
298417	536963	1	0.795
298573	537244	1	0.780
298736	537528	1	0.815
298906	537834	1	0.850
299076	538140	1	0.850
299245	538444	1	0.845
299404	538731	1	0.795
299563	539017	1	0.795
299721	539301	1	0.790
299886	539598	1	0.825
300052	539897	1	0.830
300217	540194	1	0.825
300384	540495	1	0.835
300549	540792	1	0.825
300706	541074	1	0.785
300863	541357	1	0.785
301020	541639	1	0.785
301187	541940	1	0.835
301359	542250	1	0.860
301528	542554	1	0.845
301692	542849	1	0.820
301853	543139	1	0.805
302015	543430	1	0.810
302171	543711	1	0.780
302335	544006	1	0.820
302503	544309	1	0.840
302672	544613	1	0.845
302842	544919	1	0.850
303001	545205	1	0.795
303153	545479	1	0.760
303312	545767	1	0.795
303468	546048	1	0.780
303626	546339	1	0.790
303789	546633	1	0.815
303897	546827	1	0.540
304122	547232	1	1.125
304279	547515	1	0.785
304432	547790	1	0.765
304585	548065	1	0.765
304752	548366	1	0.835
304918	548656	1	0.830
305081	548949	1	0.815
305243	549250	1	0.810
305401	549534	1	0.790
305558	549817	1	0.785
305717	550103	1	0.795
305871	550380	1	0.770
306034	550674	1	0.815
306207	550985	1	0.865
306374	551286	1	0.835
306529	551565	1	0.775
306686	551847	1	0.785
306842	552128	1	0.780
307003	552418	1	0.805
307167	552704	1	0.820
307330	552997	1	0.815
307501	553305	1	0.855
307671	553611	1	0.850
307831	553899	1	0.800
307986	554187	1	0.775
308144	554472	1	0.790
308302	554747	1	0.790
308471	555051	1	0.845
308636	555348	1	0.825
308796	555636	1	0.800
308963	555937	1	0.835
309124	556227	1	0.805
309281	556509	1	0.785
309436	556788	1	0.775
309598	557080	1	0.810
309767	557384	1	0.845
309938	557692	1	0.855
310101	557985	1	0.815
310255	558262	1	0.770
310416	558561	1	0.805
310574	558846	1	0.790
310735	559126	1	0.805
310898	559420	1	0.815
311064	559719	1	0.830
311232	560021	1	0.840
311398	560320	1	0.830
311553	560599	1	0.775
311704	560874	1	0.755
311867	561164	1	0.815
312031	561459	1	0.820
312196	561756	1	0.825
312355	562042	1	0.795
312516	562332	1	0.805
312673	562615	1	0.785
312796	562836	1	0.615
312979	563166	1	0.915
313135	563446	1	0.780
313306	563754	1	0.855
313472	564053	1	0.830
313633	564343	1	0.805
313790	564625	1	0.785
313946	564908	1	0.780
314102	565196	1	0.780
314263	565486	1	0.805
314423	565774	1	0.800
314589	566069	1	0.830
314711	566292	1	0.610
314909	566643	1	0.990
315066	566926	1	0.785
315225	567217	1	0.795
315333	567412	1	0.540
315523	567745	1	0.950
315692	568049	1	0.845
315859	568350	1	0.835
316025	568648	1	0.830
316189	568944	1	0.820
316347	569228	1	0.790
316501	569514	1	0.770
316657	569795	1	0.780
316821	570081	1	0.820
316992	570389	1	0.855
317160	570691	1	0.840
317321	570981	1	0.805
317481	571269	1	0.800
317644	571563	1	0.815
317806	571854	1	0.810
317968	572146	1	0.810
318138	572452	1	0.850
318306	572754	1	0.840
318478	573064	1	0.860
318637	573350	1	0.795
318793	573631	1	0.780
318952	573917	1	0.795
319118	574216	1	0.830
319250	574453	1	0.660
319448	574810	1	0.990
319620	575119	1	0.860
319781	575409	1	0.805
319943	575701	1	0.810
320099	575982	1	0.780
320260	576271	1	0.805
320428	576574	1	0.840
320601	576885	1	0.865
320768	577186	1	0.835
320931	577479	1	0.815
321089	577764	1	0.790
321247	578048	1	0.790
321406	578334	1	0.795
321567	578624	1	0.805
321734	578925	1	0.835
321902	579227	1	0.840
322038	579472	1	0.680
322228	579814	1	0.950
322386	580100	1	0.790
322543	580383	1	0.785
322704	580680	1	0.805
322871	580971	1	0.835
323037	581270	1	0.830
323202	581567	1	0.825
323363	581857	1	0.805
323522	582143	1	0.795
323675	582422	1	0.765
323827	582692	1	0.760
323967	582944	1	0.700
324143	583261	1	0.880
324310	583561	1	0.835
324467	583844	1	0.785
324620	584119	1	0.765
324768	584386	1	0.740
324919	584658	1	0.755
325068	584926	1	0.745
325219	585207	1	0.755
325375	585487	1	0.780
325528	585763	1	0.765
325684	586044	1	0.780
325831	586308	1	0.735
325969	586557	1	0.690
326106	586803	1	0.685
326250	587062	1	0.720
326399	587331	1	0.745
326551	587604	1	0.760
326701	587874	1	0.750
326852	588146	1	0.755
326998	588409	1	0.730
327147	588677	1	0.745
327292	588938	1	0.725
327443	589210	1	0.755
327596	589485	1	0.765
327759	589779	1	0.815
327922	590072	1	0.815
328076	590349	1	0.770
328226	590619	1	0.750
328380	590896	1	0.770
328535	591175	1	0.775
328687	591449	1	0.760
328848	591739	1	0.805
329011	592032	1	0.815
329171	592320	1	0.800
329328	592603	1	0.785
329485	592885	1	0.785
329604	593100	1	0.595
329782	593420	1	0.890
329946	593715	1	0.820
330117	594023	1	0.855
330278	594313	1	0.805
330435	594595	1	0.785
330597	594887	1	0.810
330748	595159	1	0.755
330901	595434	1	0.765
331061	595722	1	0.800
331229	596025	1	0.840
331388	596311	1	0.795
331557	596615	1	0.845
331722	596912	1	0.825
331864	597168	1	0.710
332012	597434	1	0.740
332161	597702	1	0.745
332303	597958	1	0.710
332448	598219	1	0.725
332599	598491	1	0.755
332741	598746	1	0.710
332883	599002	1	0.710
333023	599245	1	0.700
333161	599493	1	0.690
333291	599727	1	0.650
333430	599977	1	0.695
333575	600247	1	0.725
333724	600507	1	0.745
333866	600771	1	0.710
334017	601043	1	0.755
334163	601306	1	0.730
334309	601569	1	0.730
334455	601831	1	0.730
334602	602096	1	0.735
334750	602362	1	0.740
334906	602643	1	0.780
335063	602926	1	0.785
335221	603210	1	0.790
335375	603487	1	0.770
335523	603754	1	0.740
335672	604022	1	0.745
335831	604308	1	0.795
335991	604596	1	0.800
336147	604877	1	0.780
336316	605181	1	0.845
336488	605491	1	0.860
336642	605768	1	0.770
336793	606040	1	0.755
336952	606326	1	0.795
337116	606621	1	0.820
337278	606913	1	0.810
337444	607212	1	0.830
337608	607507	1	0.820
337771	607800	1	0.815
337924	608076	1	0.765
338071	608340	1	0.735
338220	608608	1	0.745
338375	608887	1	0.775
338531	609168	1	0.780
338692	609458	1	0.805
338853	609748	1	0.805
339004	610020	1	0.755
339157	610295	1	0.765
339313	610576	1	0.780
339469	610857	1	0.780
339627	611141	1	0.790
339789	611433	1	0.810
339953	611728	1	0.820
340115	612019	1	0.810
340268	612295	1	0.765
340422	612572	1	0.770
340577	612851	1	0.775
340738	613141	1	0.805
340900	613432	1	0.810
341063	613726	1	0.815
341225	614017	1	0.810
341377	614291	1	0.760
341533	614572	1	0.780
341687	614849	1	0.770
341838	615121	1	0.755
341995	615403	1	0.785
342165	615709	1	0.850
342327	616001	1	0.810
342483	616282	1	0.780
342637	616559	1	0.770
342791	616836	1	0.770
342948	617119	1	0.785
343104	617400	1	0.780
343264	617688	1	0.800
343427	617981	1	0.815
343593	618280	1	0.830
343749	618561	1	0.780
343902	618836	1	0.765
344056	619113	1	0.770
344212	619394	1	0.780
344374	619686	1	0.810
344540	619984	1	0.830
344706	620283	1	0.830
344867	620573	1	0.805
345026	620859	1	0.795
345179	621135	1	0.765
345333	621412	1	0.770
345489	621693	1	0.780
345647	621977	1	0.790
345815	622279	1	0.840
345978	622573	1	0.815
346135	622855	1	0.785
346283	623122	1	0.740
346437	623399	1	0.770
346588	623671	1	0.755
346743	623950	1	0.775
346895	624223	1	0.760
347056	624513	1	0.805
347214	624798	1	0.790
347372	625082	1	0.790
347516	625341	1	0.720
347666	625611	1	0.750
347819	625887	1	0.765
347977	626171	1	0.790
348137	626459	1	0.800
348297	626747	1	0.800
348456	627033	1	0.795
348612	627314	1	0.780
348764	627588	1	0.760
348915	627859	1	0.755
349068	628135	1	0.765
349229	628425	1	0.805
349394	628722	1	0.825
349556	629013	1	0.810
349662	629195	1	0.530
349842	629528	1	0.900
349989	629793	1	0.735
350138	630061	1	0.745
350283	630322	1	0.725
350434	630594	1	0.755
350587	630869	1	0.765
350739	631143	1	0.760
350887	631409	1	0.740
351031	631668	1	0.720
351177	631931	1	0.730
351321	632190	1	0.720
351463	632446	1	0.710
351615	632719	1	0.760
351766	632991	1	0.755
351916	633261	1	0.750
352066	633531	1	0.750
352216	633801	1	0.750
352360	634060	1	0.720
352502	634316	1	0.710
352648	634579	1	0.730
352803	634858	1	0.775
352959	635139	1	0.780
353119	635427	1	0.800
353281	635718	1	0.810
353437	635999	1	0.780
353588	636271	1	0.755
353744	636552	1	0.780
353907	636845	1	0.815
354070	637138	1	0.815
354233	637432	1	0.815
354402	637736	1	0.845
354565	638029	1	0.815
354724	638316	1	0.795
354878	638593	1	0.770
355037	638879	1	0.795
355200	639172	1	0.815
355370	639469	1	0.850
355536	639768	1	0.830
355700	640063	1	0.820
355861	640353	1	0.805
356019	640638	1	0.790
356178	640933	1	0.795
356332	641201	1	0.770
356500	641503	1	0.840
356665	641800	1	0.825
356825	642088	1	0.800
356976	642369	1	0.755
357130	642646	1	0.770
357282	642920	1	0.760
357436	643197	1	0.770
357588	643471	1	0.760
357746	643755	1	0.790
357903	644038	1	0.785
358059	644311	1	0.780
358205	644581	1	0.730
358348	644839	1	0.715
358491	645089	1	0.715
358634	645346	1	0.715
358778	645606	1	0.720
358935	645895	1	0.785
359084	646164	1	0.745
359230	646426	1	0.730
359377	646691	1	0.735
359521	646950	1	0.720
359660	647200	1	0.695
359797	647447	1	0.685
359940	647704	1	0.715
360086	647967	1	0.730
360236	648237	1	0.750
360387	648509	1	0.755
360529	648765	1	0.710
360666	649011	1	0.685
360806	649254	1	0.700
360947	649508	1	0.705
361085	649756	1	0.690
